ID;Annee;Lat;Lon;Plantation;Recolte
1;1994;45.13333333;-71.8;;
2;1994;45.23333333;-71.81666667;;
3;1994;45.3;-74.3;;
4;1995;45.6;-73.1;;
5;1995;45.83333333;-73.4;;
6;1995;45.36666667;-71.86194444;;
7;1995;45.61666667;-72.95;;
8;1995;45.83333333;-73.4;;
9;1996;45.83333333;-73.4;;
10;1996;45.31583333;-73.34555556;;
11;1996;45.36666667;-71.86194444;;
12;1996;45.36666667;-71.86194444;;
13;1996;45.61666667;-72.95;;
14;1996;45.83333333;-73.4;;
15;1994;45.66555556;-73.05027778;;
16;1994;45.4;-73.95;;
17;1994;45.6;-73.1;;
18;1990;;;;
19;1990;;;;
20;1990;;;;
21;1990;;;;
22;1991;;;;
23;1991;;;;
24;1971;;;139;
25;1971;;;139;
26;1971;;;139;
27;1971;;;139;
28;1971;;;139;
29;1971;;;139;
30;1971;;;139;
31;1971;;;139;
32;1971;;;139;
33;1971;;;139;
34;1971;;;139;
35;1971;;;139;
36;1971;;;142;
37;1971;;;142;
38;1971;;;142;
39;1971;;;142;
40;1971;;;142;
41;1971;;;142;
42;1971;;;142;
43;1971;;;142;
44;1972;;;140;
45;1972;;;140;
46;1972;;;140;
47;1972;;;140;
48;1972;;;146;
49;1972;;;146;
50;1972;;;146;
51;1972;;;146;
52;1972;45.31583333;-73.34555556;147;235
53;1972;45.31583333;-73.34555556;147;234
54;1973;45.31583333;-73.34555556;147;221
55;1973;;;156;226
56;1973;;;163;233
57;1974;;;156;233
58;1974;;;157;230
59;1974;45.41666667;-73.5;156;234
60;1974;45.41666667;-73.5;156;228
61;1974;46.58333333;-71.1;155;
62;1974;45.25;-73.8;157;
63;1970;47.36666667;-70.03333333;;
64;1970;47.36666667;-70.03333333;;
65;1970;47.36666667;-70.03333333;;
66;1970;47.91666667;-69.43333333;;
67;1972;47.36666667;-70.03333333;160;
68;1972;46.91666667;-70.9;171;
69;1972;45.61666667;-72.95;144;
70;1972;46.1;-71.3;150;
71;1972;45.23333333;-71.81666667;158;
72;1972;45.33333333;-73.16666667;145;
73;1972;45.95;-71.98333333;151;
74;1973;46.91666667;-70.9;161;
75;1973;47.36666667;-70.03333333;161;
76;1973;45.31583333;-73.34555556;158;
77;1973;45.61666667;-72.95;129;
78;1973;45.48333333;-71.66666667;173;
79;1973;45.36666667;-71.86194444;129;
80;1973;45.13333333;-71.8;160;
81;1973;55.43333333;-73.16666667;163;
82;1973;45.23333333;-71.81666667;174;
83;1974;45.37416667;-71.665;157;
84;1973;45.25;-73.8;137;
85;1974;47.36666667;-70.03333333;149;
86;1974;46.58333333;-71.1;155;
87;1974;45.61666667;-72.95;143;
88;1974;47.36666667;-70.03333333;;
89;1974;45.4;-71.25;184;
90;1974;45.41666667;-71.63333333;180;
91;1974;45.46666667;-71.5;171;
92;1974;45.41666667;-71.63333333;162;
93;1974;47.36666667;-70.03333333;135;
94;1974;47.36666667;-70.03333333;159;
95;1974;45.13333333;-74;159;
96;1973;45.4;-73.95;136;
97;1973;45.31666667;-73.26666667;171;
98;1973;45.13333333;-74;145;
99;1973;45.4;-73.95;136;
100;1972;45.35;-74.21666667;;
101;1972;45.4;-73.95;;
102;1975;45.4;-73.95;;
103;1975;45.4;-73.95;;
104;1975;45.4;-73.95;;
105;1975;45.4;-73.95;;
106;1975;45.78333333;-72.01666667;;
107;1975;45.36666667;-71.86194444;;
108;1975;45.78333333;-72.01666667;;
109;1975;45.88;-71.9425;;
110;2001;45.6;-73.1;124;278
111;2001;45.6;-73.1;124;278
112;2001;45.73333333;-72.91666667;127;280
113;2001;45.73333333;-72.91666667;127;280
114;2001;47.43333333;-73.16666667;129;280
115;2001;48.43333333;-73.16666667;129;280
116;2001;45.53333333;-73;129;280
117;2001;45.53333333;-73;129;280
118;2001;46.90472222;-70.70166667;139;292
119;2001;46.90472222;-70.70166667;139;292
120;2001;46.98333333;-70.55;140;292
121;2001;46.98333333;-70.55;140;292
122;2001;46.75;-72.26666667;141;287
123;2001;46.75;-72.26666667;141;287
124;2002;45.2;-73.98333333;142;298
125;2002;45.2;-73.98333333;142;298
126;2002;45.2;-73.98333333;126;298
127;2002;45.2;-73.98333333;126;298
128;2002;45.2;-73.98333333;131;294
129;2002;45.2;-73.98333333;131;294
130;2002;45.16638889;-73.52527778;112;294
131;2002;45.16638889;-73.52527778;112;294
132;2002;45.16638889;-73.52527778;132;294
133;2002;45.16638889;-73.52527778;132;294
134;2002;46.1;-72.36666667;133;298
135;2002;46.1;-72.36666667;133;298
136;2002;46.21666667;-72.61666667;146;292
137;2002;46.21666667;-72.61666667;146;292
138;2002;46.23333333;-72.21666667;148;292
139;2002;46.23333333;-72.21666667;148;292
140;2003;45.2;-73.98333333;141;298
141;2003;45.2;-73.98333333;141;298
142;2003;45.2;-73.98333333;141;298
143;2003;45.2;-73.98333333;141;298
144;2003;45.2;-73.98333333;141;298
145;2003;45.2;-73.98333333;141;298
146;2003;45.21666667;-73.28333333;143;289
147;2003;45.21666667;-73.28333333;143;289
148;2003;45.21666667;-73.28333333;143;289
149;2003;45.12833333;-73.32194444;143;290
150;2003;45.12833333;-73.32194444;143;290
151;2003;45.12833333;-73.32194444;143;290
152;2003;45.33333333;-73.16666667;143;290
153;2003;45.33333333;-73.16666667;143;290
154;2003;45.33333333;-73.16666667;143;290
155;2003;45.46666667;-73.26666667;149;297
156;2003;45.46666667;-73.26666667;149;297
157;2003;45.46666667;-73.26666667;149;297
158;2003;46.21666667;-72.61666667;144;299
159;2003;46.21666667;-72.61666667;144;299
160;2003;46.21666667;-72.61666667;144;299
161;2003;46.1;-72.36666667;148;299
162;2003;46.1;-72.36666667;148;299
163;2003;46.1;-72.36666667;148;299
164;2004;45.2;-73.98333333;134;300
165;2004;45.2;-73.98333333;134;300
166;1995;45.52638889;-73.3425;;
167;1995;45.61666667;-72.95;;
168;1996;45.52638889;-73.3425;;
169;1996;45.61666667;-72.95;;
170;1972;45.73333333;-72.91666667;;
171;1972;45.73333333;-72.91666667;;
172;1972;45.64916667;-72.99444444;;
173;1972;45.64916667;-72.99444444;;
174;1972;45.6;-76.48333333;;
175;1972;45.6;-76.48333333;;
176;1975;45.73333333;-72.91666667;;
177;1975;45.64916667;-72.99444444;;
178;2006;45.56638889;-73.2025;126;214
179;2006;45.62722222;-72.94027778;157;229
180;2006;45.25944444;-73.61861111;159;236
181;2006;46.69805556;-71.58444444;123;216
182;2007;45.56638889;-73.2025;161;243
183;2007;45.62722222;-72.94027778;160;242
184;2007;45.25944444;-73.61861111;165;257
185;2007;46.69805556;-71.58444444;153;254
186;1978;45.4;-73.95;118;228
187;1978;45.13333333;-74;141;238
188;1978;45.45;-74.15;150;244
189;1978;45.18333333;-73.85;148;243
190;1978;45.155;-73.81222222;133;238
191;1978;45.4;-73.95;118;235
192;1978;45.13333333;-74;141;243
193;1978;45.45;-74.15;150;262
194;1978;45.18333333;-73.85;148;243
195;1978;45.155;-73.81222222;133;243
196;1967;45.13333333;-74;127;280
197;1967;45.13333333;-74;127;280
198;1967;45.05;-72.83333333;145;288
199;1967;45.05;-72.83333333;145;288
200;1968;45.4;-73.95;149;289
201;1968;45.4;-73.95;149;289
202;1968;45.35;-74.21666667;136;283
203;1968;45.35;-74.21666667;136;283
204;1968;45.28333333;-72.98333333;144;294
205;1968;45.28333333;-72.98333333;144;294
206;1990;45.64305556;-72.90083333;;
207;1990;45.13333333;-74;;
208;1991;45.64305556;-72.90083333;;
209;1991;45.13333333;-74;;
210;1999;45.78333333;-73.18333333;131;277
211;1999;45.78333333;-73.18333333;131;277
212;1999;45.48333333;-72.75;127;269
213;1999;45.48333333;-72.75;127;269
214;1999;45.78333333;-73.15;128;269
215;1999;45.78333333;-73.15;128;269
216;1999;45.88333333;-72.66666667;135;277
217;1999;45.88333333;-72.66666667;135;277
218;1999;45.88333333;-72.76666667;134;276
219;1999;45.88333333;-72.76666667;134;276
220;1999;45.85;-73.76666667;122;270
221;1999;45.85;-73.76666667;122;270
222;1999;49.43333333;-73.16666667;120;263
223;1999;50.43333333;-73.16666667;120;263
224;1999;45.25;-73.8;122;263
225;1999;45.25;-73.8;122;263
226;1999;45.88333333;-73.15;126;269
227;1999;45.88333333;-73.15;126;269
228;1999;46.16666667;-71.88333333;123;275
229;1999;46.16666667;-71.88333333;123;275
230;1999;45.88333333;-73.16666667;124;259
231;1999;45.88333333;-73.16666667;124;259
232;1999;45.20722222;-73.22888889;125;266
233;1999;45.20722222;-73.22888889;125;266
234;1999;45.18333333;-74.13333333;124;259
235;1999;45.12833333;-73.32194444;121;266
236;1999;45.12833333;-73.32194444;121;266
237;1999;46.26666667;-72.83333333;135;282
238;1999;46.26666667;-72.83333333;135;282
239;2000;45.73333333;-72.91666667;138;281
240;2000;45.73333333;-72.91666667;138;281
241;2000;45.48333333;-72.75;142;283
242;2000;45.48333333;-72.75;142;283
243;2000;46.45;-72.35;141;281
244;2000;46.45;-72.35;141;281
245;2000;45.53333333;-73;125;283
246;2000;45.53333333;-73;125;283
247;2000;45.78333333;-73.15;143;283
248;2000;45.78333333;-73.15;143;283
249;2000;45.08333333;-73.36666667;137;288
250;2000;45.08333333;-73.36666667;137;288
251;2000;45.43333333;-73.16666667;125;283
252;2000;46.43333333;-73.16666667;125;283
253;2000;45.25;-73.8;125;288
254;2000;45.25;-73.8;125;288
255;2000;46.7;-71.58333333;143;281
256;2000;46.7;-71.58333333;143;281
257;2000;45.88333333;-73.15;159;281
258;2000;45.88333333;-73.15;159;281
259;2000;45.88333333;-73.16666667;151;288
260;2000;45.88333333;-73.16666667;151;288
261;2000;45.12833333;-73.32194444;125;288
262;2000;45.12833333;-73.32194444;125;288
